/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/dask/dataframe/__init__.py:31: FutureWarning: The legacy Dask DataFrame implementation is deprecated and will be removed in a future version. Set the configuration option `dataframe.query-planning` to `True` or None to enable the new Dask Dataframe implementation and silence this warning.
  warnings.warn(
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/xarray_schema/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
Locked Random Seed: 43
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
/hpc/group/yizhanglab/vk93/sthd-codex/run_exp.py:105: FutureWarning: In the future, the default backend for leiden will be igraph instead of leidenalg.

 To achieve the future defaults please pass: flavor="igraph" and n_iterations=2.  directed must also be False to work with igraph's implementation.
  sc.tl.leiden(adata, resolution=1.0, key_added='vgae_leiden')
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 64 patches with halo...
  0%|          | 0/64 [00:00<?, ?it/s]  2%|▏         | 1/64 [00:00<00:19,  3.21it/s]  3%|▎         | 2/64 [00:00<00:19,  3.22it/s]  5%|▍         | 3/64 [00:00<00:19,  3.14it/s]  6%|▋         | 4/64 [00:01<00:18,  3.22it/s]  8%|▊         | 5/64 [00:01<00:18,  3.17it/s]  9%|▉         | 6/64 [00:01<00:18,  3.19it/s] 11%|█         | 7/64 [00:02<00:17,  3.18it/s] 12%|█▎        | 8/64 [00:02<00:17,  3.17it/s] 14%|█▍        | 9/64 [00:02<00:17,  3.22it/s] 16%|█▌        | 10/64 [00:03<00:16,  3.23it/s] 17%|█▋        | 11/64 [00:03<00:16,  3.20it/s] 19%|█▉        | 12/64 [00:03<00:16,  3.17it/s] 20%|██        | 13/64 [00:04<00:16,  3.15it/s] 22%|██▏       | 14/64 [00:04<00:15,  3.17it/s] 23%|██▎       | 15/64 [00:04<00:15,  3.17it/s] 25%|██▌       | 16/64 [00:05<00:15,  3.16it/s] 27%|██▋       | 17/64 [00:05<00:14,  3.21it/s] 28%|██▊       | 18/64 [00:05<00:14,  3.20it/s] 30%|██▉       | 19/64 [00:05<00:14,  3.16it/s] 31%|███▏      | 20/64 [00:06<00:13,  3.16it/s] 33%|███▎      | 21/64 [00:06<00:13,  3.17it/s] 34%|███▍      | 22/64 [00:06<00:13,  3.19it/s] 36%|███▌      | 23/64 [00:07<00:12,  3.19it/s] 38%|███▊      | 24/64 [00:07<00:12,  3.21it/s] 39%|███▉      | 25/64 [00:07<00:12,  3.20it/s] 41%|████      | 26/64 [00:08<00:11,  3.18it/s] 42%|████▏     | 27/64 [00:08<00:11,  3.17it/s] 44%|████▍     | 28/64 [00:08<00:11,  3.19it/s] 45%|████▌     | 29/64 [00:09<00:11,  3.16it/s] 47%|████▋     | 30/64 [00:09<00:10,  3.17it/s] 48%|████▊     | 31/64 [00:09<00:10,  3.17it/s] 50%|█████     | 32/64 [00:10<00:10,  3.19it/s] 52%|█████▏    | 33/64 [00:10<00:09,  3.19it/s] 53%|█████▎    | 34/64 [00:10<00:09,  3.01it/s] 55%|█████▍    | 35/64 [00:11<00:09,  3.04it/s] 56%|█████▋    | 36/64 [00:11<00:09,  2.98it/s] 58%|█████▊    | 37/64 [00:11<00:09,  2.95it/s] 59%|█████▉    | 38/64 [00:12<00:09,  2.69it/s] 61%|██████    | 39/64 [00:12<00:09,  2.78it/s] 62%|██████▎   | 40/64 [00:12<00:08,  2.83it/s] 64%|██████▍   | 41/64 [00:13<00:07,  2.90it/s] 66%|██████▌   | 42/64 [00:13<00:07,  2.92it/s] 67%|██████▋   | 43/64 [00:13<00:07,  2.97it/s] 69%|██████▉   | 44/64 [00:14<00:06,  3.04it/s] 70%|███████   | 45/64 [00:14<00:06,  3.05it/s] 72%|███████▏  | 46/64 [00:14<00:05,  3.09it/s] 73%|███████▎  | 47/64 [00:15<00:05,  3.07it/s] 75%|███████▌  | 48/64 [00:15<00:05,  3.08it/s] 77%|███████▋  | 49/64 [00:15<00:04,  3.07it/s] 78%|███████▊  | 50/64 [00:16<00:04,  3.08it/s] 80%|███████▉  | 51/64 [00:16<00:04,  3.05it/s] 81%|████████▏ | 52/64 [00:16<00:03,  3.07it/s] 83%|████████▎ | 53/64 [00:17<00:03,  3.12it/s] 84%|████████▍ | 54/64 [00:17<00:03,  3.13it/s] 86%|████████▌ | 55/64 [00:17<00:02,  3.20it/s] 88%|████████▊ | 56/64 [00:18<00:02,  3.17it/s] 89%|████████▉ | 57/64 [00:18<00:02,  3.15it/s] 91%|█████████ | 58/64 [00:18<00:01,  3.12it/s] 92%|█████████▏| 59/64 [00:18<00:01,  3.12it/s] 94%|█████████▍| 60/64 [00:19<00:01,  3.15it/s] 95%|█████████▌| 61/64 [00:19<00:01,  2.74it/s] 97%|█████████▋| 62/64 [00:20<00:00,  2.84it/s] 98%|█████████▊| 63/64 [00:20<00:00,  2.96it/s]100%|██████████| 64/64 [00:20<00:00,  2.89it/s]100%|██████████| 64/64 [00:20<00:00,  3.08it/s]
Iter 0 | Total: 35.9649 | LL: -32.7685 | CE: 10.6547
Iter 1 | Total: 32.0415 | LL: -28.8723 | CE: 10.5641
Iter 2 | Total: 29.4900 | LL: -26.3695 | CE: 10.4016
Iter 3 | Total: 27.6630 | LL: -24.5769 | CE: 10.2869
Iter 4 | Total: 26.2657 | LL: -23.1904 | CE: 10.2509
Iter 5 | Total: 25.1661 | LL: -22.0753 | CE: 10.3027
Iter 6 | Total: 24.2926 | LL: -21.1599 | CE: 10.4425
Iter 7 | Total: 23.5948 | LL: -20.3955 | CE: 10.6646
Iter 8 | Total: 23.0298 | LL: -19.7416 | CE: 10.9606
Iter 9 | Total: 22.5625 | LL: -19.1660 | CE: 11.3218
Iter 10 | Total: 22.1713 | LL: -18.6492 | CE: 11.7403
Iter 11 | Total: 21.8469 | LL: -18.1842 | CE: 12.2093
Iter 12 | Total: 21.5866 | LL: -17.7697 | CE: 12.7230
Iter 13 | Total: 21.3880 | LL: -17.4049 | CE: 13.2768
Iter 14 | Total: 21.2483 | LL: -17.0882 | CE: 13.8670
Iter 15 | Total: 21.1633 | LL: -16.8163 | CE: 14.4902
Iter 16 | Total: 21.1274 | LL: -16.5846 | CE: 15.1426
Iter 17 | Total: 21.1335 | LL: -16.3874 | CE: 15.8201
Iter 18 | Total: 21.1742 | LL: -16.2191 | CE: 16.5171
Iter 19 | Total: 21.2426 | LL: -16.0744 | CE: 17.2273
Iter 20 | Total: 21.3327 | LL: -15.9494 | CE: 17.9445
Iter 21 | Total: 21.4397 | LL: -15.8407 | CE: 18.6632
Iter 22 | Total: 21.5596 | LL: -15.7459 | CE: 19.3791
Iter 23 | Total: 21.6894 | LL: -15.6629 | CE: 20.0881
Iter 24 | Total: 21.8263 | LL: -15.5903 | CE: 20.7867
Iter 25 | Total: 21.9681 | LL: -15.5265 | CE: 21.4721
Iter 26 | Total: 22.1133 | LL: -15.4706 | CE: 22.1424
Iter 27 | Total: 22.2604 | LL: -15.4214 | CE: 22.7966
Iter 28 | Total: 22.4084 | LL: -15.3782 | CE: 23.4341
Iter 29 | Total: 22.5566 | LL: -15.3402 | CE: 24.0547
Iter 0 | Total: 39.5877 | LL: -36.4876 | CE: 10.3339
Iter 1 | Total: 34.1474 | LL: -31.0696 | CE: 10.2595
Iter 2 | Total: 30.9344 | LL: -27.8995 | CE: 10.1161
Iter 3 | Total: 28.7409 | LL: -25.7438 | CE: 9.9903
Iter 4 | Total: 27.0770 | LL: -24.1046 | CE: 9.9081
Iter 5 | Total: 25.7472 | LL: -22.7824 | CE: 9.8828
Iter 6 | Total: 24.6724 | LL: -21.6958 | CE: 9.9220
Iter 7 | Total: 23.8059 | LL: -20.7975 | CE: 10.0283
Iter 8 | Total: 23.1058 | LL: -20.0456 | CE: 10.2006
Iter 9 | Total: 22.5346 | LL: -19.4040 | CE: 10.4355
Iter 10 | Total: 22.0664 | LL: -18.8480 | CE: 10.7279
Iter 11 | Total: 21.6860 | LL: -18.3644 | CE: 11.0719
Iter 12 | Total: 21.3832 | LL: -17.9447 | CE: 11.4615
Iter 13 | Total: 21.1480 | LL: -17.5806 | CE: 11.8912
Iter 14 | Total: 20.9710 | LL: -17.2641 | CE: 12.3561
Iter 15 | Total: 20.8441 | LL: -16.9884 | CE: 12.8523
Iter 16 | Total: 20.7605 | LL: -16.7477 | CE: 13.3759
Iter 17 | Total: 20.7143 | LL: -16.5373 | CE: 13.9232
Iter 18 | Total: 20.7002 | LL: -16.3531 | CE: 14.4903
Iter 19 | Total: 20.7133 | LL: -16.1915 | CE: 15.0728
Iter 20 | Total: 20.7495 | LL: -16.0496 | CE: 15.6663
Iter 21 | Total: 20.8046 | LL: -15.9247 | CE: 16.2665
Iter 22 | Total: 20.8753 | LL: -15.8146 | CE: 16.8690
Iter 23 | Total: 20.9582 | LL: -15.7174 | CE: 17.4697
Iter 24 | Total: 21.0508 | LL: -15.6314 | CE: 18.0648
Iter 25 | Total: 21.1507 | LL: -15.5553 | CE: 18.6514
Iter 26 | Total: 21.2560 | LL: -15.4878 | CE: 19.2274
Iter 27 | Total: 21.3652 | LL: -15.4278 | CE: 19.7914
Iter 28 | Total: 21.4773 | LL: -15.3745 | CE: 20.3428
Iter 29 | Total: 21.5914 | LL: -15.3270 | CE: 20.8814
Iter 0 | Total: 36.4744 | LL: -33.3821 | CE: 10.3077
Iter 1 | Total: 32.2229 | LL: -29.1496 | CE: 10.2443
Iter 2 | Total: 29.6197 | LL: -26.5831 | CE: 10.1221
Iter 3 | Total: 27.7953 | LL: -24.7850 | CE: 10.0343
Iter 4 | Total: 26.3965 | LL: -23.3921 | CE: 10.0146
Iter 5 | Total: 25.2800 | LL: -22.2569 | CE: 10.0772
Iter 6 | Total: 24.3846 | LL: -21.3169 | CE: 10.2256
Iter 7 | Total: 23.6711 | LL: -20.5338 | CE: 10.4577
Iter 8 | Total: 23.1027 | LL: -19.8722 | CE: 10.7684
Iter 9 | Total: 22.6455 | LL: -19.3003 | CE: 11.1507
Iter 10 | Total: 22.2726 | LL: -18.7935 | CE: 11.5971
Iter 11 | Total: 21.9676 | LL: -18.3375 | CE: 12.1003
Iter 12 | Total: 21.7246 | LL: -17.9287 | CE: 12.6531
Iter 13 | Total: 21.5433 | LL: -17.5687 | CE: 13.2490
Iter 14 | Total: 21.4217 | LL: -17.2570 | CE: 13.8822
Iter 15 | Total: 21.3546 | LL: -16.9905 | CE: 14.5473
Iter 16 | Total: 21.3351 | LL: -16.7633 | CE: 15.2391
Iter 17 | Total: 21.3550 | LL: -16.5694 | CE: 15.9520
Iter 18 | Total: 21.4068 | LL: -16.4029 | CE: 16.6796
Iter 19 | Total: 21.4834 | LL: -16.2590 | CE: 17.4147
