/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/dask/dataframe/__init__.py:31: FutureWarning: The legacy Dask DataFrame implementation is deprecated and will be removed in a future version. Set the configuration option `dataframe.query-planning` to `True` or None to enable the new Dask Dataframe implementation and silence this warning.
  warnings.warn(
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/xarray_schema/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
Locked Random Seed: 44
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 64 patches with halo...
  0%|          | 0/64 [00:00<?, ?it/s]  2%|▏         | 1/64 [00:00<00:17,  3.64it/s]  3%|▎         | 2/64 [00:00<00:16,  3.65it/s]  5%|▍         | 3/64 [00:00<00:17,  3.52it/s]  6%|▋         | 4/64 [00:01<00:16,  3.64it/s]  8%|▊         | 5/64 [00:01<00:20,  2.83it/s]  9%|▉         | 6/64 [00:02<00:21,  2.64it/s] 11%|█         | 7/64 [00:02<00:19,  2.89it/s] 12%|█▎        | 8/64 [00:02<00:18,  3.00it/s] 14%|█▍        | 9/64 [00:03<00:19,  2.83it/s] 16%|█▌        | 10/64 [00:03<00:18,  2.99it/s] 17%|█▋        | 11/64 [00:03<00:16,  3.14it/s] 19%|█▉        | 12/64 [00:03<00:16,  3.21it/s] 20%|██        | 13/64 [00:04<00:21,  2.32it/s] 22%|██▏       | 14/64 [00:04<00:19,  2.61it/s] 23%|██▎       | 15/64 [00:05<00:17,  2.85it/s] 25%|██▌       | 16/64 [00:05<00:15,  3.00it/s] 27%|██▋       | 17/64 [00:05<00:14,  3.17it/s] 28%|██▊       | 18/64 [00:06<00:16,  2.77it/s] 30%|██▉       | 19/64 [00:06<00:15,  2.93it/s] 31%|███▏      | 20/64 [00:06<00:14,  3.09it/s] 33%|███▎      | 21/64 [00:07<00:13,  3.22it/s] 34%|███▍      | 22/64 [00:07<00:14,  2.97it/s] 36%|███▌      | 23/64 [00:07<00:13,  3.14it/s] 38%|███▊      | 24/64 [00:07<00:12,  3.26it/s] 39%|███▉      | 25/64 [00:08<00:11,  3.33it/s] 41%|████      | 26/64 [00:08<00:13,  2.73it/s] 42%|████▏     | 27/64 [00:09<00:13,  2.65it/s] 44%|████▍     | 28/64 [00:09<00:12,  2.90it/s] 45%|████▌     | 29/64 [00:09<00:11,  3.05it/s] 47%|████▋     | 30/64 [00:10<00:10,  3.19it/s] 48%|████▊     | 31/64 [00:10<00:10,  3.11it/s] 50%|█████     | 32/64 [00:10<00:10,  3.13it/s] 52%|█████▏    | 33/64 [00:10<00:09,  3.15it/s] 53%|█████▎    | 34/64 [00:11<00:09,  3.22it/s] 55%|█████▍    | 35/64 [00:11<00:09,  3.18it/s] 56%|█████▋    | 36/64 [00:11<00:09,  2.99it/s] 58%|█████▊    | 37/64 [00:12<00:08,  3.14it/s] 59%|█████▉    | 38/64 [00:12<00:08,  3.21it/s] 61%|██████    | 39/64 [00:12<00:07,  3.24it/s] 62%|██████▎   | 40/64 [00:13<00:10,  2.30it/s] 64%|██████▍   | 41/64 [00:13<00:09,  2.44it/s] 66%|██████▌   | 42/64 [00:14<00:08,  2.69it/s] 67%|██████▋   | 43/64 [00:14<00:07,  2.91it/s] 69%|██████▉   | 44/64 [00:14<00:06,  3.11it/s] 70%|███████   | 45/64 [00:15<00:06,  2.96it/s] 72%|███████▏  | 46/64 [00:15<00:05,  3.08it/s] 73%|███████▎  | 47/64 [00:15<00:05,  3.15it/s] 75%|███████▌  | 48/64 [00:16<00:04,  3.21it/s] 77%|███████▋  | 49/64 [00:16<00:04,  3.02it/s] 78%|███████▊  | 50/64 [00:16<00:04,  3.12it/s] 80%|███████▉  | 51/64 [00:17<00:04,  3.22it/s] 81%|████████▏ | 52/64 [00:17<00:03,  3.32it/s] 83%|████████▎ | 53/64 [00:17<00:03,  3.40it/s] 84%|████████▍ | 54/64 [00:18<00:03,  2.64it/s] 86%|████████▌ | 55/64 [00:18<00:03,  2.90it/s] 88%|████████▊ | 56/64 [00:18<00:02,  3.06it/s] 89%|████████▉ | 57/64 [00:19<00:02,  2.98it/s] 91%|█████████ | 58/64 [00:19<00:02,  2.90it/s] 92%|█████████▏| 59/64 [00:19<00:01,  2.80it/s] 94%|█████████▍| 60/64 [00:20<00:01,  2.95it/s] 95%|█████████▌| 61/64 [00:20<00:00,  3.14it/s] 97%|█████████▋| 62/64 [00:20<00:00,  3.21it/s] 98%|█████████▊| 63/64 [00:20<00:00,  3.37it/s]100%|██████████| 64/64 [00:21<00:00,  3.42it/s]100%|██████████| 64/64 [00:21<00:00,  3.02it/s]
Iter 0 | Total: 36.5261 | LL: -35.0178 | CE: 5.0277
Iter 1 | Total: 32.2406 | LL: -30.7650 | CE: 4.9185
Iter 2 | Total: 29.3220 | LL: -27.9128 | CE: 4.6975
Iter 3 | Total: 27.1591 | LL: -25.8053 | CE: 4.5125
Iter 4 | Total: 25.4569 | LL: -24.1400 | CE: 4.3897
Iter 5 | Total: 24.1186 | LL: -22.8167 | CE: 4.3395
Iter 6 | Total: 23.1151 | LL: -21.8014 | CE: 4.3789
Iter 7 | Total: 22.4079 | LL: -21.0524 | CE: 4.5182
Iter 8 | Total: 21.9382 | LL: -20.5123 | CE: 4.7529
Iter 9 | Total: 21.6452 | LL: -20.1243 | CE: 5.0698
Iter 10 | Total: 21.4793 | LL: -19.8429 | CE: 5.4544
Iter 11 | Total: 21.4045 | LL: -19.6360 | CE: 5.8951
Iter 12 | Total: 21.3965 | LL: -19.4815 | CE: 6.3836
Iter 13 | Total: 21.4388 | LL: -19.3645 | CE: 6.9144
Iter 14 | Total: 21.5203 | LL: -19.2751 | CE: 7.4840
Iter 15 | Total: 21.6334 | LL: -19.2063 | CE: 8.0901
Iter 16 | Total: 21.7726 | LL: -19.1534 | CE: 8.7309
Iter 17 | Total: 21.9340 | LL: -19.1127 | CE: 9.4045
Iter 18 | Total: 22.1142 | LL: -19.0816 | CE: 10.1087
Iter 19 | Total: 22.3102 | LL: -19.0580 | CE: 10.8407
Iter 20 | Total: 22.5191 | LL: -19.0403 | CE: 11.5960
Iter 21 | Total: 22.7380 | LL: -19.0272 | CE: 12.3694
Iter 22 | Total: 22.9639 | LL: -19.0176 | CE: 13.1543
Iter 23 | Total: 23.1940 | LL: -19.0108 | CE: 13.9441
Iter 24 | Total: 23.4256 | LL: -19.0060 | CE: 14.7322
Iter 25 | Total: 23.6565 | LL: -19.0028 | CE: 15.5124
Iter 26 | Total: 23.8841 | LL: -19.0007 | CE: 16.2782
Iter 27 | Total: 24.1062 | LL: -18.9994 | CE: 17.0228
Iter 28 | Total: 24.3206 | LL: -18.9987 | CE: 17.7396
Iter 29 | Total: 24.5254 | LL: -18.9984 | CE: 18.4232
Iter 0 | Total: 37.0644 | LL: -35.6015 | CE: 4.8764
Iter 1 | Total: 32.8584 | LL: -31.4134 | CE: 4.8168
Iter 2 | Total: 29.8980 | LL: -28.4939 | CE: 4.6806
Iter 3 | Total: 27.6995 | LL: -26.3261 | CE: 4.5781
Iter 4 | Total: 26.0093 | LL: -24.6463 | CE: 4.5433
Iter 5 | Total: 24.6943 | LL: -23.3233 | CE: 4.5700
Iter 6 | Total: 23.6824 | LL: -22.2880 | CE: 4.6479
Iter 7 | Total: 22.9236 | LL: -21.4905 | CE: 4.7773
Iter 8 | Total: 22.3732 | LL: -20.8846 | CE: 4.9620
Iter 9 | Total: 21.9885 | LL: -20.4278 | CE: 5.2024
Iter 10 | Total: 21.7334 | LL: -20.0844 | CE: 5.4968
Iter 11 | Total: 21.5805 | LL: -19.8272 | CE: 5.8442
Iter 12 | Total: 21.5097 | LL: -19.6362 | CE: 6.2451
Iter 13 | Total: 21.5059 | LL: -19.4960 | CE: 6.6996
Iter 14 | Total: 21.5566 | LL: -19.3946 | CE: 7.2065
Iter 15 | Total: 21.6511 | LL: -19.3223 | CE: 7.7624
Iter 16 | Total: 21.7801 | LL: -19.2714 | CE: 8.3624
Iter 17 | Total: 21.9360 | LL: -19.2360 | CE: 9.0003
Iter 18 | Total: 22.1124 | LL: -19.2115 | CE: 9.6696
Iter 19 | Total: 22.3040 | LL: -19.1950 | CE: 10.3635
Iter 20 | Total: 22.5061 | LL: -19.1840 | CE: 11.0739
Iter 21 | Total: 22.7144 | LL: -19.1768 | CE: 11.7919
Iter 22 | Total: 22.9248 | LL: -19.1724 | CE: 12.5080
Iter 23 | Total: 23.1338 | LL: -19.1700 | CE: 13.2129
Iter 24 | Total: 23.3386 | LL: -19.1688 | CE: 13.8991
Iter 25 | Total: 23.5368 | LL: -19.1686 | CE: 14.5610
Iter 26 | Total: 23.7273 | LL: -19.1689 | CE: 15.1947
Iter 27 | Total: 23.9090 | LL: -19.1696 | CE: 15.7979
Iter 28 | Total: 24.0814 | LL: -19.1705 | CE: 16.3696
Iter 29 | Total: 24.2442 | LL: -19.1715 | CE: 16.9091
Iter 0 | Total: 33.0457 | LL: -31.5865 | CE: 4.8640
Iter 1 | Total: 29.7348 | LL: -28.2980 | CE: 4.7895
Iter 2 | Total: 27.2591 | LL: -25.8627 | CE: 4.6544
Iter 3 | Total: 25.4188 | LL: -24.0381 | CE: 4.6021
Iter 4 | Total: 24.0510 | LL: -22.6449 | CE: 4.6869
Iter 5 | Total: 23.0536 | LL: -21.5804 | CE: 4.9106
Iter 6 | Total: 22.3546 | LL: -20.7789 | CE: 5.2523
Iter 7 | Total: 21.8913 | LL: -20.1849 | CE: 5.6882
Iter 8 | Total: 21.6089 | LL: -19.7492 | CE: 6.1992
Iter 9 | Total: 21.4622 | LL: -19.4306 | CE: 6.7721
Iter 10 | Total: 21.4169 | LL: -19.1973 | CE: 7.3987
Iter 11 | Total: 21.4488 | LL: -19.0262 | CE: 8.0754
Iter 12 | Total: 21.5413 | LL: -18.9011 | CE: 8.8005
Iter 13 | Total: 21.6822 | LL: -18.8103 | CE: 9.5730
Iter 14 | Total: 21.8622 | LL: -18.7452 | CE: 10.3898
Iter 15 | Total: 22.0731 | LL: -18.6991 | CE: 11.2464
