/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/dask/dataframe/__init__.py:31: FutureWarning: The legacy Dask DataFrame implementation is deprecated and will be removed in a future version. Set the configuration option `dataframe.query-planning` to `True` or None to enable the new Dask Dataframe implementation and silence this warning.
  warnings.warn(
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/xarray_schema/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
Running Unseeded (Random)
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 64 patches with halo...
  0%|          | 0/64 [00:00<?, ?it/s]  2%|▏         | 1/64 [00:00<00:17,  3.62it/s]  3%|▎         | 2/64 [00:00<00:17,  3.62it/s]  5%|▍         | 3/64 [00:00<00:17,  3.56it/s]  6%|▋         | 4/64 [00:01<00:16,  3.60it/s]  8%|▊         | 5/64 [00:01<00:17,  3.43it/s]  9%|▉         | 6/64 [00:01<00:16,  3.50it/s] 11%|█         | 7/64 [00:02<00:16,  3.39it/s] 12%|█▎        | 8/64 [00:02<00:16,  3.46it/s] 14%|█▍        | 9/64 [00:02<00:15,  3.52it/s] 16%|█▌        | 10/64 [00:02<00:15,  3.56it/s] 17%|█▋        | 11/64 [00:03<00:15,  3.50it/s] 19%|█▉        | 12/64 [00:03<00:14,  3.48it/s] 20%|██        | 13/64 [00:03<00:15,  3.35it/s] 22%|██▏       | 14/64 [00:04<00:14,  3.44it/s] 23%|██▎       | 15/64 [00:04<00:14,  3.37it/s] 25%|██▌       | 16/64 [00:04<00:14,  3.41it/s] 27%|██▋       | 17/64 [00:04<00:13,  3.51it/s] 28%|██▊       | 18/64 [00:05<00:13,  3.53it/s] 30%|██▉       | 19/64 [00:05<00:12,  3.50it/s] 31%|███▏      | 20/64 [00:05<00:12,  3.41it/s] 33%|███▎      | 21/64 [00:06<00:12,  3.43it/s] 34%|███▍      | 22/64 [00:06<00:12,  3.42it/s] 36%|███▌      | 23/64 [00:06<00:12,  3.42it/s] 38%|███▊      | 24/64 [00:06<00:11,  3.35it/s] 39%|███▉      | 25/64 [00:07<00:11,  3.33it/s] 41%|████      | 26/64 [00:07<00:11,  3.30it/s] 42%|████▏     | 27/64 [00:07<00:11,  3.28it/s] 44%|████▍     | 28/64 [00:08<00:10,  3.30it/s] 45%|████▌     | 29/64 [00:08<00:10,  3.28it/s] 47%|████▋     | 30/64 [00:08<00:10,  3.29it/s] 48%|████▊     | 31/64 [00:09<00:09,  3.31it/s] 50%|█████     | 32/64 [00:09<00:09,  3.36it/s] 52%|█████▏    | 33/64 [00:09<00:09,  3.39it/s] 53%|█████▎    | 34/64 [00:10<00:10,  2.84it/s] 55%|█████▍    | 35/64 [00:10<00:10,  2.83it/s] 56%|█████▋    | 36/64 [00:10<00:09,  3.04it/s] 58%|█████▊    | 37/64 [00:11<00:08,  3.16it/s] 59%|█████▉    | 38/64 [00:11<00:08,  3.23it/s] 61%|██████    | 39/64 [00:11<00:08,  2.83it/s] 62%|██████▎   | 40/64 [00:12<00:08,  2.98it/s] 64%|██████▍   | 41/64 [00:12<00:07,  3.11it/s] 66%|██████▌   | 42/64 [00:12<00:07,  3.05it/s] 67%|██████▋   | 43/64 [00:13<00:06,  3.07it/s] 69%|██████▉   | 44/64 [00:13<00:06,  3.23it/s] 70%|███████   | 45/64 [00:13<00:05,  3.28it/s] 72%|███████▏  | 46/64 [00:13<00:05,  3.35it/s] 73%|███████▎  | 47/64 [00:14<00:05,  3.28it/s] 75%|███████▌  | 48/64 [00:14<00:04,  3.33it/s] 77%|███████▋  | 49/64 [00:14<00:04,  3.35it/s] 78%|███████▊  | 50/64 [00:15<00:04,  3.24it/s] 80%|███████▉  | 51/64 [00:15<00:03,  3.30it/s] 81%|████████▏ | 52/64 [00:15<00:03,  3.36it/s] 83%|████████▎ | 53/64 [00:15<00:03,  3.45it/s] 84%|████████▍ | 54/64 [00:16<00:02,  3.35it/s] 86%|████████▌ | 55/64 [00:16<00:02,  3.39it/s] 88%|████████▊ | 56/64 [00:16<00:02,  3.38it/s] 89%|████████▉ | 57/64 [00:17<00:02,  3.13it/s] 91%|█████████ | 58/64 [00:18<00:02,  2.24it/s] 92%|█████████▏| 59/64 [00:18<00:02,  2.42it/s] 94%|█████████▍| 60/64 [00:18<00:01,  2.65it/s] 95%|█████████▌| 61/64 [00:18<00:01,  2.85it/s] 97%|█████████▋| 62/64 [00:19<00:00,  2.85it/s] 98%|█████████▊| 63/64 [00:19<00:00,  2.96it/s]100%|██████████| 64/64 [00:19<00:00,  3.05it/s]100%|██████████| 64/64 [00:19<00:00,  3.22it/s]
Iter 0 | Total: 119.7182 | LL: -118.0480 | CE: 5.5673
Iter 1 | Total: 74.4977 | LL: -72.8713 | CE: 5.4212
Iter 2 | Total: 52.2018 | LL: -50.6520 | CE: 5.1660
Iter 3 | Total: 41.7374 | LL: -40.2483 | CE: 4.9638
Iter 4 | Total: 36.4872 | LL: -35.0413 | CE: 4.8197
Iter 5 | Total: 33.5483 | LL: -32.1358 | CE: 4.7083
Iter 6 | Total: 31.7167 | LL: -30.3318 | CE: 4.6165
Iter 7 | Total: 30.4492 | LL: -29.0871 | CE: 4.5402
Iter 8 | Total: 29.4760 | LL: -28.1327 | CE: 4.4776
Iter 9 | Total: 28.6570 | LL: -27.3291 | CE: 4.4264
Iter 10 | Total: 27.9207 | LL: -26.6055 | CE: 4.3839
Iter 11 | Total: 27.2346 | LL: -25.9303 | CE: 4.3478
Iter 12 | Total: 26.5877 | LL: -25.2929 | CE: 4.3161
Iter 13 | Total: 25.9792 | LL: -24.6930 | CE: 4.2873
Iter 14 | Total: 25.4119 | LL: -24.1336 | CE: 4.2610
Iter 15 | Total: 24.8884 | LL: -23.6173 | CE: 4.2370
Iter 16 | Total: 24.4098 | LL: -23.1451 | CE: 4.2155
Iter 17 | Total: 23.9754 | LL: -22.7162 | CE: 4.1972
Iter 18 | Total: 23.5833 | LL: -22.3285 | CE: 4.1827
Iter 19 | Total: 23.2311 | LL: -21.9792 | CE: 4.1730
Iter 20 | Total: 22.9159 | LL: -21.6652 | CE: 4.1688
Iter 21 | Total: 22.6347 | LL: -21.3834 | CE: 4.1710
Iter 22 | Total: 22.3847 | LL: -21.1306 | CE: 4.1803
Iter 23 | Total: 22.1634 | LL: -20.9041 | CE: 4.1975
Iter 24 | Total: 21.9682 | LL: -20.7013 | CE: 4.2231
Iter 25 | Total: 21.7970 | LL: -20.5197 | CE: 4.2575
Iter 26 | Total: 21.6477 | LL: -20.3573 | CE: 4.3013
Iter 27 | Total: 21.5184 | LL: -20.2121 | CE: 4.3546
Iter 28 | Total: 21.4076 | LL: -20.0822 | CE: 4.4177
Iter 29 | Total: 21.3135 | LL: -19.9663 | CE: 4.4906
Iter 0 | Total: 138.8214 | LL: -137.2015 | CE: 5.3997
Iter 1 | Total: 85.6655 | LL: -84.0740 | CE: 5.3051
Iter 2 | Total: 58.9120 | LL: -57.3879 | CE: 5.0805
Iter 3 | Total: 46.1686 | LL: -44.7056 | CE: 4.8766
Iter 4 | Total: 39.9169 | LL: -38.4979 | CE: 4.7300
Iter 5 | Total: 36.5069 | LL: -35.1199 | CE: 4.6235
Iter 6 | Total: 34.3858 | LL: -33.0242 | CE: 4.5385
Iter 7 | Total: 32.8901 | LL: -31.5504 | CE: 4.4657
Iter 8 | Total: 31.7156 | LL: -30.3951 | CE: 4.4016
Iter 9 | Total: 30.7126 | LL: -29.4091 | CE: 4.3449
Iter 10 | Total: 29.8063 | LL: -28.5179 | CE: 4.2945
Iter 11 | Total: 28.9626 | LL: -27.6879 | CE: 4.2491
Iter 12 | Total: 28.1698 | LL: -26.9076 | CE: 4.2074
Iter 13 | Total: 27.4261 | LL: -26.1756 | CE: 4.1684
Iter 14 | Total: 26.7328 | LL: -25.4934 | CE: 4.1315
Iter 15 | Total: 26.0908 | LL: -24.8620 | CE: 4.0962
Iter 16 | Total: 25.5001 | LL: -24.2813 | CE: 4.0627
Iter 17 | Total: 24.9597 | LL: -23.7503 | CE: 4.0315
Iter 18 | Total: 24.4679 | LL: -23.2669 | CE: 4.0032
Iter 19 | Total: 24.0226 | LL: -22.8290 | CE: 3.9787
Iter 20 | Total: 23.6214 | LL: -22.4337 | CE: 3.9590
Iter 21 | Total: 23.2617 | LL: -22.0782 | CE: 3.9450
Iter 22 | Total: 22.9409 | LL: -21.7596 | CE: 3.9378
Iter 23 | Total: 22.6563 | LL: -21.4749 | CE: 3.9382
Iter 24 | Total: 22.4052 | LL: -21.2211 | CE: 3.9470
Iter 25 | Total: 22.1849 | LL: -20.9955 | CE: 3.9648
Iter 26 | Total: 21.9930 | LL: -20.7953 | CE: 3.9923
Iter 27 | Total: 21.8270 | LL: -20.6181 | CE: 4.0297
Iter 28 | Total: 21.6845 | LL: -20.4613 | CE: 4.0773
Iter 29 | Total: 21.5634 | LL: -20.3228 | CE: 4.1352
Iter 0 | Total: 118.0737 | LL: -116.4579 | CE: 5.3860
Iter 1 | Total: 75.1515 | LL: -73.5527 | CE: 5.3294
Iter 2 | Total: 53.7922 | LL: -52.2325 | CE: 5.1990
Iter 3 | Total: 42.7295 | LL: -41.2252 | CE: 5.0145
Iter 4 | Total: 37.1394 | LL: -35.6845 | CE: 4.8498
Iter 5 | Total: 34.1859 | LL: -32.7673 | CE: 4.7289
Iter 6 | Total: 32.4290 | LL: -31.0360 | CE: 4.6434
Iter 7 | Total: 31.2020 | LL: -29.8283 | CE: 4.5790
Iter 8 | Total: 30.2064 | LL: -28.8489 | CE: 4.5247
Iter 9 | Total: 29.3121 | LL: -27.9699 | CE: 4.4740
Iter 10 | Total: 28.4672 | LL: -27.1401 | CE: 4.4236
Iter 11 | Total: 27.6578 | LL: -26.3460 | CE: 4.3726
Iter 12 | Total: 26.8871 | LL: -25.5907 | CE: 4.3214
Iter 13 | Total: 26.1641 | LL: -24.8826 | CE: 4.2715
Iter 14 | Total: 25.4965 | LL: -24.2292 | CE: 4.2245
Iter 15 | Total: 24.8890 | LL: -23.6343 | CE: 4.1824
